Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:19:46

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.1

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
   192,5  3999,76  4013,79  2990,81
     193  3999,76  4013,79  2994,48
   193,5  3999,76  4020,51   2990,2
     194  3999,76  4020,51  2997,53
   194,5  3999,76  4010,74  2994,48
     195  3999,76  4011,35  2981,66
   195,5  3999,76  4018,68  2983,49
     196  3999,76  4018,07  2997,53
   196,5  3999,76   4014,4  3006,68
     197  3999,76  4013,79   3013,4
   197,5  3999,76  4007,69   3001,8
     198  3999,76  4008,91  3003,02
   198,5  3999,76  4011,35  2993,26
     199  3999,76  4016,24  2994,48
   199,5  3999,76  4012,57  3008,51
     200  3999,76  4010,74  3008,51
   200,5  3999,76  4016,85  2995,09
     201  3999,76  4018,68  2996,92
   201,5  3999,76   4019,9  3017,67
     202  3999,76  4016,24  3012,79
   202,5  3999,76  4011,35  2999,97
     203  3999,76  4016,24  3015,23
   203,5  3999,76  4024,17  3012,18
     204  3999,76  4016,24  3015,84
   204,5  3999,76   4019,9  3029,27
     205  3999,76  4018,68  3023,77
   205,5  3999,76  4017,46  3018,28
     206  3999,76  4013,79  3002,41
   206,5  3999,76  4024,17  2997,53
     207  3999,76  4017,46  2998,14
   207,5  3999,76  4019,29   2990,2
     208  3999,76  4019,29   2990,2
   208,5  3999,76   4019,9  2984,71
     209  3999,76  4019,29   2990,2
   209,5  3999,76  4022,34  2996,31
     210  3999,76   4014,4  2984,71
   210,5  3999,76  4021,73  2989,59
     211  3999,76   4019,9  2991,42
   211,5  3999,76  4019,29  2996,92
     212  3999,76  4016,85  2993,26
   212,5  3999,76  4018,07  2971,28
     213  3999,76  4021,73  2963,35
   213,5  3999,76  4016,85  2970,67
     214  3999,76  4023,56  2968,84
   214,5  3999,76  4018,68  2963,35
     215  3999,76  4018,68  2967,01
   215,5  3999,76   4019,9  2970,67
     216  3999,76  4022,34  2976,17
   216,5  3999,76  4019,29  2984,71
     217  3999,76  4015,63  2973,72
   217,5  3999,76  4020,51  2951,75
     218  3999,76  4013,18  2956,63
   218,5  3999,76  4011,35  2954,19
     219  3999,76  4006,47  2970,06
   219,5  3999,76  4008,91  2971,28
     220  3999,76   4014,4  2987,76
   220,5  3999,76  4015,63  2989,59
     221  3999,76  4016,24  2981,66
   221,5  3999,76  4013,79  2981,66
     222  3999,76  4018,07  2982,88
   222,5  3999,76  4012,57  2981,66
     223  3999,76  4017,46  2982,88
   223,5  3999,76  4015,63  2981,05
     224  3999,76  4011,35  2981,05
   224,5  3999,76  4013,79  2982,88
     225  3999,76  4017,46  2968,84
   225,5  3999,76  4010,13  2956,02
     226  3999,76  4016,24  2952,36
   226,5  3999,76  4007,08  2950,53
     227  3999,76  4010,74  2964,57
   227,5  3999,76  4010,13  2962,13
     228  3999,76  4013,18   2948,7
   228,5  3999,76  4004,64  2950,53
     229  3999,76  4007,69  2951,14
   229,5  3999,76  4010,13  2963,35
     230  3999,76   4014,4  2967,01
   230,5  3999,76  4011,96  2963,35
     231  3999,76  4004,64  2981,05
   231,5  3999,76  4013,18  2985,93
     232  3999,76  4009,52  2977,39
   232,5  3999,76  4007,69   2960,3
     233  3999,76  4002,81  2950,53
   233,5  3999,76  4007,08  2943,82
     234  3999,76  4011,35  2952,36
   234,5  3999,76  4010,13  2967,62
     235  3999,76  4006,47  2965,79
   235,5  3999,76  4005,86  2969,45
     236  3999,76  4005,25  2951,75
   236,5  3999,76  4005,86  2952,36
     237  3999,76  4010,13  2957,85
   237,5  3999,76  4005,25  2968,84
     238  3999,76  3998,54  2967,01
   238,5  3999,76   4008,3  2968,23
     239  3999,76   4002,2  2968,84
   239,5  3999,76  4000,98  2984,71
     240  3999,76   3996,7  2973,11
   240,5  3999,76  3998,54  2987,76
     241  3999,76  3999,76   2990,2
   241,5  3999,76  4003,42  3006,68
     242  3999,76   3996,7   3019,5
   242,5  3999,76  3999,15  3010,35
     243  3999,76  4000,37  2998,14
   243,5  3999,76  4006,47  2988,98
     244  3999,76  4005,86  2970,06
   244,5  3999,76  4004,03  2969,45
     245  3999,76  4002,81  2967,01
   245,5  3999,76  3996,09  2979,22
     246  3999,76  4007,69  2980,44
   246,5  3999,76  4005,25  2996,92
     247  3999,76  3998,54  3004,24
   247,5  3999,76  3993,04  2996,92
     248  3999,76  3992,43  2981,66
   248,5  3999,76  3998,54  2992,65
     249  3999,76   3996,7  3004,24
   249,5  3999,76  4002,81  3021,94
     250  3999,76  4007,08  3018,28
   250,5  3999,76  4000,37  3016,45
     251  3999,76  3999,15  3011,57
   251,5  3999,76  4010,13  3000,58
     252  3999,76  4006,47  2996,31
   252,5  3999,76  4005,25  2998,75
     253  3999,76   3996,7  3014,62
   253,5  3999,76   4008,3  3015,23
