Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 12:02:32

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 5
   Valvula_B: 0
   Valvula_C: 3

PARAMETROS_DO_CONTROLADOR:
   KP=3
   KI=0

Controlo: Nivel2

       Tabela de Dados



  Tempo  SetPoint  Nivel2   Caudal 
   235,5  3999,76  3198,95  4958,04
     236  3999,76  3201,39  4965,36
   236,5  3999,76  3195,29  4957,43
     237  3999,76  3202,61  4945,22
   237,5  3999,76  3210,55  4911,65
     238  3999,76  3204,44  4912,87
   238,5  3999,76  3209,94  4895,78
     239  3999,76   3207,5  4881,13
   239,5  3999,76  3205,05  4875,03
     240  3999,76  3209,94  4865,26
   240,5  3999,76  3216,04  4866,48
     241  3999,76  3211,77  4850,61
   241,5  3999,76  3208,72  4839,01
     242  3999,76  3205,66   4843,9
   242,5  3999,76  3203,83     4850
     243  3999,76  3218,48  4853,05
   243,5  3999,76  3208,72  4863,43
     244  3999,76   3207,5  4888,45
   244,5  3999,76  3217,26  4881,74
     245  3999,76  3209,33  4876,25
   245,5  3999,76  3217,87  4864,04
     246  3999,76  3212,38  4851,22
   246,5  3999,76  3219,09  4868,31
     247  3999,76  3212,38  4859,77
   247,5  3999,76  3212,38  4871,97
     248  3999,76  3214,82  4858,55
   248,5  3999,76  3205,66  4857,33
     249  3999,76  3212,38  4859,77
   249,5  3999,76  3220,31  4858,55
     250  3999,76  3219,09  4865,87
   250,5  3999,76  3214,82  4862,82
     251  3999,76  3214,21  4915,92
   251,5  3999,76  3216,04  4915,92
     252  3999,76  3214,82  5402,39
   252,5  3999,76  3227,03  5402,39
     253  3999,76  3229,47  5966,37
   253,5  3999,76  3228,86  5966,37
     254  3999,76  3233,74  6344,19
   254,5  3999,76  3239,84   6362,5
     255  3999,76     3249  6376,54
   255,5  3999,76  3250,22  6372,26
     256  3999,76  3256,94  6335,64
   256,5  3999,76  3274,64  6270,94
     257  3999,76  3270,36  6212,35
   257,5  3999,76  3275,86  6154,36
     258  3999,76  3278,91  6066,47
