Instituto Superior de Engenharia de Lisboa
    Laborat¢rio de Controlo de Sistemas


   Data: 05/04/22
   Hora: 11:44:40

UNIDADES:
   Tempo : seg.
   Canais: mV

POSICAO_DAS_VALVULAS:
   Valvula_A: 0
   Valvula_B: 2
   Valvula_C: 0

PARAMETROS_DO_CONTROLADOR:
   KP=2
   KI=0.4

Controlo: Nivel1

       Tabela de Dados



  Tempo  SetPoint  Nivel1   Caudal 
   223,5  3999,76  3875,85  2956,63
     224  3999,76  3870,97   2995,7
   224,5  3999,76  3875,24  3022,55
     225  3999,76   3878,9  3070,16
   225,5  3999,76  3880,73  3117,77
     226  3999,76   3884,4  3138,52
   226,5  3999,76   3884,4  3154,39
     227  3999,76  3885,62  3193,46
   227,5  3999,76  3892,33  3209,33
     228  3999,76  3897,82  3246,56
   228,5  3999,76  3901,49  3270,36
     229  3999,76  3906,37  3290,51
   229,5  3999,76  3905,76  3303,32
     230  3999,76  3911,25  3306,99
   230,5  3999,76  3916,14  3319,19
     231  3999,76  3927,12  3327,13
   231,5  3999,76  3936,89  3346,66
     232  3999,76  3935,67  3350,32
   232,5  3999,76  3942,38  3360,09
     233  3999,76  3942,99  3361,31
   233,5  3999,76  3945,43  3371,68
     234  3999,76  3956,42  3385,72
   234,5  3999,76  3957,64  3405,26
     235  3999,76  3961,91  3415,63
   235,5  3999,76  3964,35  3419,29
     236  3999,76  3965,58  3399,76
   236,5  3999,76     3979  3389,39
     237  3999,76  3982,67  3392,44
   237,5  3999,76  3986,94  3379,01
     238  3999,76  3987,55  3386,33
   238,5  3999,76  4005,86   3384,5
     239  3999,76  4006,47  3371,07
   239,5  3999,76  4013,79  3359,48
     240  3999,76  4013,79  3336,28
   240,5  3999,76  4017,46  3311,87
     241  3999,76   4019,9  3292,34
   241,5  3999,76  4027,83  3277,69
     242  3999,76     4026  3275,86
   242,5  3999,76  4035,77  3279,52
     243  3999,76  4038,82   3260,6
   243,5  3999,76  4043,09   3266,7
     244  3999,76  4041,87  3257,55
   244,5  3999,76   4043,7  3248,39
     245  3999,76  4053,47  3245,34
   245,5  3999,76  4050,42  3229,47
     246  3999,76  4048,59     3202
   246,5  3999,76  4053,47  3175,76
     247  3999,76  4057,13  3161,11
   247,5  3999,76  4062,01  3152,56
     248  3999,76  4071,17  3132,42
   248,5  3999,76  4062,62  3117,77
     249  3999,76  4067,51  3093,97
   249,5  3999,76  4070,56  3073,21
     250  3999,76   4066,9  3054,29
   250,5  3999,76  4063,23  3018,89
     251  3999,76  4067,51  3009,12
   251,5  3999,76  4065,68  2985,93
     252  3999,76   4061,4  2970,06
   252,5  3999,76  4071,78  2951,75
     253  3999,76  4068,12  2947,48
   253,5  3999,76  4062,01  2929,17
     254  3999,76  4053,47  2898,04
   254,5  3999,76  4057,13  2877,29
     255  3999,76   4061,4  2893,77
   255,5  3999,76  4048,59  2898,04
     256  3999,76  4048,59  2875,45
   256,5  3999,76  4046,75  2870,57
     257  3999,76  4051,03   2866,3
   257,5  3999,76  4046,14  2841,88
     258  3999,76  4049,81     2837
   258,5  3999,76  4041,87  2818,69
     259  3999,76   4043,7  2802,82
   259,5  3999,76  4041,87  2800,99
     260  3999,76  4041,87  2796,72
   260,5  3999,76  4035,16  2794,27
     261  3999,76  4027,83  2782,68
   261,5  3999,76  4028,44  2768,64
     262  3999,76     4026   2772,3
   262,5  3999,76  4034,55  2779,63
     263  3999,76  4022,95  2776,57
   263,5  4999,85  4018,07  2794,89
     264  4999,85  4016,24  2800,99
   264,5  4999,85  4025,39  2800,99
     265  4999,85  4046,14  3862,42
   265,5  4999,85  4071,17  3862,42
     266  4999,85  4107,18  5135,65
   266,5  4999,85  4138,92  5135,65
     267  4999,85  4177,98  5717,95
   267,5  4999,85  4217,05  5878,48
     268  4999,85  4262,83  6032,29
   268,5  4999,85  4307,38  6176,95
     269  4999,85  4356,21  6299,02
   269,5  4999,85  4400,16  6414,99
     270  4999,85  4450,21  6480,91
   270,5  4999,85  4503,31  6542,56
     271  4999,85  4552,14   6621,3
   271,5  4999,85  4609,52  6660,36
     272  4999,85   4655,9  6648,76
   272,5  4999,85  4703,51  6644,49
     273  4999,85  4759,06  6650,59
   273,5  4999,85   4790,8  6642,05
